State,city,restaurant_name,Location,cuisine_type,Dish Name,cost,rating,rating_count,order_id,latitude,longitude,distance_km,traffic_level,food_preparation_time,delivery_time,total_time,expected_time,delivery_delay,delay_category,order_hour,time_of_day,peak_hour_flag,day_of_the_week,sentiment_score,sentiment
Punjab,Chandigarh,Burger King,Sector 66,Korean Spicy Fest(Limited Time Only),2Crispy Chicken Burger+Korean Spicy Chicken(4pc)+2Coke.,449.0,4.4,1,1002434,13.090284,77.465956,3.58,High,10,23,33,28,5,On Time,15,Afternoon,0,Weekday,0.8500000000000001,Positive
Kerala,Kochi,Zaatar Arabic Restaurant,Palarivattom,Al Faham,Al Faham [black Pepper Al Faham],250.0,4.7,159,1002435,12.94737,77.720046,5.37,Medium,24,25,49,49,0,On Time,23,Night,0,Weekday,0.925,Positive
Uttar Pradesh,Lucknow,Mcdonald'S,Phoenix Mall,Sides,Pizza McPuff®,49.0,4.5,244,1002436,12.946378,77.667567,6.95,High,15,39,54,47,7,Slightly Delayed,21,Night,1,Weekday,0.875,Positive
Gujarat,Ahmedabad,Burger King,Prahlad Nagar,New Whopper Deluxe (Reg. Size Bun),"2 Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun),",298.0,2.8,5,1002437,12.935097,77.748835,1.72,Medium,24,26,50,35,15,Slightly Delayed,18,Evening,0,Weekday,0.44999999999999996,Negative
Telangana,Hyderabad,Harley'S Fine Baking,Lingampally & Nallagandla,Recommended,French Vanilla Rose Crocante Medovik With Macaron,225.0,4.8,25,1002438,12.985352,77.540651,2.78,Low,16,11,27,31,-4,On Time,14,Afternoon,1,Weekend,0.95,Positive
Maharashtra,Mumbai,Boom - Sub Style Sandwiches,Nerul,Veg Starters,Paneer Tikka [10 Pcs],249.0,4.1,4,1002439,12.888536,77.713546,2.35,Medium,36,10,46,50,-4,On Time,8,Morning,0,Weekend,0.7749999999999999,Positive
West Bengal,Kolkata,Chandimata Mistanna Bhander,Behala,Desserts,Roll Sandesh White 1 Pc ,22.0,4.3,11,1002440,12.988428,77.630916,1.65,Medium,19,14,33,30,3,On Time,11,Afternoon,0,Weekday,0.825,Positive
Jammu and Kashmir,Srinagar,Little Persia,Munawarabad,Recommended,Thai Style Honey Chilly Potatoes,150.0,3.0,6,1002441,12.985426,77.585938,7.74,High,41,53,94,76,18,Heavily Delayed,15,Afternoon,0,Weekday,0.5,Neutral
Goa,Panaji,Kfc,Mapusa,Rice Bowlz,Duo Popcorn Chicken Rice Bowl - Biryani Style,428.57,4.2,3,1002442,13.040475,77.516772,5.67,Low,30,19,49,57,-8,Early,15,Afternoon,0,Weekday,0.8,Positive
Rajasthan,Jaipur,Burger Farm,Malviya Nagar,Veg Burgers,Farm Aloo Tikki,71.1,4.3,0,1002443,13.058412,77.671518,14.1,Medium,23,57,80,82,-2,On Time,13,Afternoon,1,Weekday,0.825,Positive
Odisha,Bhubaneswar,Burger King,Kalinga Vihar,Value Meals (Save Upto 47%),"Crispy Veg Double Patty Meal,",303.0,3.8,5,1002444,12.96011,77.721242,2.44,Low,23,12,35,37,-2,On Time,8,Morning,0,Weekend,0.7,Neutral
Gujarat,Ahmedabad,Jayhind Sweets,Ghatlodia,Namkeen,Cheese Sev,95.0,4.7,1,1002445,12.925583,77.520593,13.96,Jam,11,109,120,70,50,Heavily Delayed,19,Evening,1,Weekday,0.925,Positive
Odisha,Bhubaneswar,Pizza Hut,Baxi Bazar,Veg Pizza,Corn & Cheese,219.0,3.9,81,1002446,12.914834,77.502617,2.21,Low,33,13,46,46,0,On Time,16,Evening,0,Weekday,0.725,Neutral
Karnataka,Bengaluru,Home Plate By Eatfit,Electronic City,Pav Meals@99,Pav with Aloo Matar,100.0,3.5,1,1002447,12.898656,77.658867,9.67,Medium,19,42,61,61,0,On Time,21,Night,1,Weekday,0.625,Neutral
West Bengal,Kolkata,Delights By Inox,Newtown,Crunchy & Loaded Nachos,Cheesy Veg Nachos,229.0,4.7,6,1002448,12.864412,77.743092,4.47,Low,15,20,35,37,-2,On Time,12,Afternoon,0,Weekday,0.925,Positive
Jharkhand,Ranchi,Attitude Cafe And Restaurant Nxt,mesra,Roti,Plain Naan,40.0,4.1,4,1002449,12.935612,77.674987,12.58,Jam,12,98,110,66,44,Heavily Delayed,18,Evening,0,Weekday,0.7749999999999999,Positive
Tamil Nadu,Chennai,Sangeetha Veg Restaurant,Poonamallee,Rice Bowls Large,Chilly Garlic Fried Rice Large,390.0,3.7,99,1002450,12.917562,77.535374,1.86,Low,43,13,56,55,1,On Time,20,Night,1,Weekday,0.675,Neutral
Gujarat,Ahmedabad,Subway,Ghatlodia,Recommended,Chilli Bean Patty Sandwich,259.0,4.4,33,1002451,13.091604,77.575987,14.34,Medium,35,60,95,95,0,On Time,13,Afternoon,1,Weekday,0.8500000000000001,Positive
Delhi,New Delhi,Mcdonald'S,Raj Nagar,The Ranveer Singh Meal, The Ranveer Singh Meal McVeggie Xplode,296.0,4.1,3,1002452,12.989427,77.565295,1.66,Low,19,10,29,30,-1,On Time,11,Afternoon,0,Weekday,0.7749999999999999,Positive
Tripura,Agartala,Cafe Coffee Day,Krishna Nagar,Cold Coffee Delights,Vanilla Frappe,339.0,4.6,2,1002453,12.936819,77.705629,4.38,Medium,30,21,51,52,-1,On Time,13,Afternoon,1,Weekday,0.8999999999999999,Positive
Jharkhand,Ranchi,Kaveri'S,Ashok Nagar,Desserts,Rasgulla (2 Pcs),79.0,4.4,7,1002454,12.995117,77.681411,7.5,Jam,34,62,96,68,28,Heavily Delayed,10,Morning,0,Weekend,0.8500000000000001,Positive
Jharkhand,Ranchi,Pizza Hut,Lalpur,Appetizer,Sprinkled Fries - New,109.0,3.3,13,1002455,12.884799,77.626693,11.58,Medium,11,64,75,61,14,Slightly Delayed,22,Night,0,Weekend,0.575,Neutral
Gujarat,Ahmedabad,1944 The Hocco Kitchen,Bopal,Indian Mains,Mushroom Do Pyaza,519.0,4.9,1,1002456,12.961011,77.532488,14.32,Jam,10,112,122,70,52,Heavily Delayed,16,Evening,0,Weekday,0.9750000000000001,Positive
Tamil Nadu,Chennai,Pizza Hut,Chromepet,Hut Café,Cold Coffee,149.0,2.9,5,1002457,13.006559,77.731397,6.99,Low,33,35,68,65,3,On Time,12,Afternoon,0,Weekend,0.475,Negative
Kerala,Kochi,Papputt'S Valsa Cafe,Pachalam Junction,Recommended,Chicken Fried Rice,185.0,4.5,686,1002458,12.972224,77.645995,11.6,High,19,64,83,69,14,Slightly Delayed,14,Afternoon,1,Weekend,0.875,Positive
Madhya Pradesh,Indore,La Pino'Z Pizza,South Tukoganj,Dotd,English Retreat Pizza Regular,308.0,4.7,8,1002459,12.950445,77.741143,11.18,Medium,44,47,91,92,-1,On Time,15,Afternoon,0,Weekend,0.925,Positive
Karnataka,Bengaluru,Burger King,Yelahanka,Exclusive Deals (Save Upto 40%),"Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun) +Crunchy Veg Taco,",239.0,4.3,1,1002460,13.098462,77.624035,9.0,Jam,31,71,102,71,31,Heavily Delayed,11,Afternoon,0,Weekday,0.825,Positive
Maharashtra,Mumbai,Shiv Sagar Veg Restaurant,Thane West,South Indian Menu,Butter Palak Masala Dosa,185.0,4.4,1,1002461,13.070079,77.696358,10.67,Jam,43,87,130,89,41,Heavily Delayed,14,Afternoon,1,Weekend,0.8500000000000001,Positive
Haryana,Gurgaon,Mealful Rolls - India'S Biggest Rolls,Vasant Kunj,"Chicken Rolls [Big 9""]",Chicken Tikka Masala Roll,199.0,3.1,21,1002462,13.005851,77.693932,1.53,Low,41,22,63,51,12,Slightly Delayed,11,Afternoon,0,Weekend,0.525,Neutral
Karnataka,Bengaluru,Srivari Bhimmas,Yelahanka,Quick Bites,Bhajji (banana),80.0,4.5,22,1002463,12.992344,77.551199,7.18,Medium,25,31,56,58,-2,On Time,12,Afternoon,0,Weekend,0.875,Positive
Manipur,Imphal,Hotel Enchanto Imphal,Majorkhul,Snacks,Vegetable Bora,90.0,3.7,6,1002464,13.005165,77.739206,12.0,High,39,66,105,90,15,Slightly Delayed,15,Afternoon,0,Weekday,0.675,Neutral
Meghalaya,Shillong,City Hut Family Dhaba,Oakland Road,Sea Food Appetizers,Szechwan Fish oriental Style,473.0,4.2,3,1002465,12.900328,77.456582,7.64,Low,40,26,66,74,-8,Early,12,Afternoon,0,Weekend,0.8,Positive
Punjab,Chandigarh,Ovenfresh,Sector 24,Tea Cake,Banana Walnut Tea Cake,209.0,3.8,4,1002466,12.948784,77.680613,13.23,Medium,39,55,94,95,-1,On Time,11,Afternoon,0,Weekday,0.7,Neutral
Karnataka,Bengaluru,Lunchbox  Meals And Thalis,Navaratan Gardens,Starters,Chicken Tikki (5 pcs),139.0,4.5,8,1002467,12.859865,77.739667,12.67,Jam,14,103,117,68,49,Heavily Delayed,8,Morning,0,Weekend,0.875,Positive
Chhattisgarh,Raipur,Mcdonald'S,Shankar Nagar,Burgers & Wraps,McAloo Tikki Burger,75.0,4.3,0,1002468,12.968887,77.551672,13.09,High,33,71,104,89,15,Slightly Delayed,14,Afternoon,1,Weekday,0.825,Positive
West Bengal,Kolkata,Domino'S Pizza,Harish Mukherjee Road,Recommended,Veg Loaded,189.0,4.8,92,1002469,12.985756,77.644433,2.82,Medium,36,17,53,51,2,On Time,14,Afternoon,1,Weekday,0.95,Positive
Haryana,Gurgaon,Tossin Pizza,Vasant Kunj,Appetizers,Garlic & Herbs [6 inches],189.0,4.5,2,1002470,12.906937,77.618667,4.42,Low,23,23,46,45,1,On Time,12,Afternoon,0,Weekday,0.875,Positive
Jammu and Kashmir,Srinagar,Pizza Hut,Rajbagh,Recommended,Margherita,169.0,4.1,143,1002471,13.091007,77.678452,1.41,Low,22,10,32,32,0,On Time,19,Evening,1,Weekday,0.7749999999999999,Positive
Tamil Nadu,Chennai,Sandy'S Chocolate Laboratory,Nungambakkam,"Burger, Sandwiches & Wraps",Roasted Mushroom & Mascarpone Croissant,475.0,3.9,35,1002472,13.077364,77.709853,14.76,Jam,29,116,145,91,54,Heavily Delayed,12,Afternoon,0,Weekday,0.725,Neutral
Himachal Pradesh,Shimla,Momo Magic Cafe,Solan Town,Recommended,Mix Veg Steamed Momos[8 Pieces],129.0,4.3,15,1002473,13.030536,77.630913,4.31,High,37,27,64,58,6,Slightly Delayed,23,Night,0,Weekday,0.825,Positive
Karnataka,Bengaluru,Cheesecake & Co.,Whitefield,Slices,Salted Caramel Cheesecake Slices,250.0,4.7,2,1002474,12.983347,77.694771,6.14,High,15,35,50,43,7,Slightly Delayed,13,Afternoon,1,Weekday,0.925,Positive
Gujarat,Ahmedabad,Chinese Wok,Thaltej,Drinks,Masala Shikanji,99.0,4.9,6,1002475,13.067492,77.543686,4.85,Low,18,19,37,41,-4,On Time,16,Evening,0,Weekday,0.9750000000000001,Positive
Karnataka,Bengaluru,Big Bowl,Kengeri Satellite Town,Extras,Extra Crispy Noodles,20.0,4.5,9,1002476,12.882663,77.518576,1.56,Medium,31,10,41,42,-1,On Time,18,Evening,0,Weekday,0.875,Positive
Kerala,Kochi,The Persian Table,Kolenchery,Desserts,Gulab Jamun,110.0,3.9,10,1002477,13.047627,77.5792,4.66,Low,32,17,49,55,-6,Early,18,Evening,0,Weekday,0.725,Neutral
Telangana,Hyderabad,Grameen Kulfi,Attapur,Slice Kulfi,Alphonso Mango Slice Kulfi (Pack Of 3),186.44,4.8,28,1002478,12.881205,77.653321,2.37,Medium,17,15,32,31,1,On Time,15,Afternoon,0,Weekday,0.95,Positive
Mizoram,Aizawl,Kfc,Zotlang Peng,Burgers,Chicken Burger Buddy Meal,614.88,4.4,1,1002479,13.048553,77.506174,6.52,High,10,34,44,40,4,On Time,15,Afternoon,0,Weekday,0.8500000000000001,Positive
Rajasthan,Jaipur,Sethi Tikka Kabab Curry,Malviya Nagar,Veg Main Course,Mushroom Masala,450.0,4.9,58,1002480,12.918942,77.654106,14.54,Jam,16,114,130,77,53,Heavily Delayed,15,Afternoon,0,Weekday,0.9750000000000001,Positive
Uttar Pradesh,Lucknow,Rominus Pizza And Burger,Vrindavan Colony,Desi Flavour Of India,Tandoori Corn,305.0,4.2,25,1002481,13.069273,77.568228,10.78,High,21,59,80,68,12,Slightly Delayed,9,Morning,0,Weekday,0.8,Positive
West Bengal,Kolkata,Makhani Darbar,STATION ROAD,Recommended,Chicken Tikka Masala,299.0,4.1,2,1002482,13.086011,77.688673,10.9,Jam,26,84,110,73,37,Heavily Delayed,12,Afternoon,0,Weekday,0.7749999999999999,Positive
West Bengal,Kolkata,Tea Junction,Lake Town,Dessert,Apple Pie,150.0,4.6,12,1002483,12.887199,77.461051,7.34,Medium,25,34,59,58,1,On Time,22,Night,0,Weekend,0.8999999999999999,Positive
Himachal Pradesh,Shimla,The Story House,Mall Road Solan,Story-House-Fries,American Fried Chicken,375.0,4.3,7,1002484,12.965669,77.650395,12.36,Medium,13,51,64,66,-2,On Time,16,Evening,0,Weekday,0.825,Positive
Karnataka,Bengaluru,Lunchbox - Meals And Thalis,Sarjapur Road Yamare,Starters,Dahi Kebab (3 Pcs),149.0,3.4,6,1002485,13.095247,77.644947,13.72,High,18,89,107,76,31,Heavily Delayed,17,Evening,0,Weekday,0.6,Neutral
Gujarat,Ahmedabad,Sasuma,Vastrapur,Recommended,Mix Veg Garlic Khichdi,190.0,4.8,7,1002486,12.970852,77.732281,14.46,Medium,18,62,80,79,1,On Time,12,Afternoon,0,Weekend,0.95,Positive
Jharkhand,Ranchi,Shree Gangaur,Jai Prakash Nagar,Namkeens,Patla Nimki (250 gms) (Per Pkt),156.0,5.0,6,1002487,13.065887,77.66401,2.39,Medium,36,10,46,50,-4,On Time,22,Night,0,Weekday,1.0,Positive
Kerala,Kochi,Papputt'S Valsa Cafe,Pachalam Junction,Breakfast Bestsellers,Beef Curry                                  ,140.0,4.4,190,1002488,12.997183,77.688891,13.32,Jam,21,107,128,77,51,Heavily Delayed,11,Afternoon,0,Weekday,0.8500000000000001,Positive
Odisha,Bhubaneswar,Grameen Kulfi,CUTTACK,Matka Kulfi,Thandai Matka Kulfi (pack Of 2),169.49,4.8,6,1002489,12.943832,77.721377,4.15,Low,43,17,60,64,-4,On Time,11,Afternoon,0,Weekend,0.95,Positive
Madhya Pradesh,Indore,Maa Ki Rasoi,Vijay Nagar,Recommended,Bhojan Thali,166.0,4.3,76,1002490,12.921446,77.652516,6.56,Low,32,24,56,62,-6,Early,10,Morning,0,Weekday,0.825,Positive
West Bengal,Kolkata,Wow! Chicken By Wow! Momo,Belgharia,Sides  &  Dips,Peri Peri Seasoning,23.81,4.2,27,1002491,12.900806,77.537046,5.84,High,44,32,76,71,5,On Time,15,Afternoon,0,Weekday,0.8,Positive
Gujarat,Ahmedabad,La Pino'Z Pizza,Vaishno Devi Circle,Recommended,Hot Passion Pizza,328.0,4.8,4,1002492,13.04045,77.710932,10.45,Medium,18,45,63,63,0,On Time,12,Afternoon,0,Weekend,0.95,Positive
Assam,Guwahati,Jbs,GS Road,Recommended,Gifting Box 1,415.0,4.6,12,1002493,12.946635,77.674273,9.37,Jam,22,75,97,63,34,Heavily Delayed,12,Afternoon,0,Weekend,0.8999999999999999,Positive
Karnataka,Bengaluru,Eatfit,Whitefield,3 Layer Rice Bowl,"Palak Paneer, Soya Matar & Millet Pulao",304.0,4.7,21,1002494,12.977819,77.577331,2.53,Low,11,13,24,25,-1,On Time,8,Morning,0,Weekday,0.925,Positive
Jharkhand,Ranchi,Shree Gangaur,Jai Prakash Nagar,Cakes,Pineapple Cake (0.453 gms),470.0,5.0,8,1002495,12.973081,77.663159,11.96,Jam,11,93,104,62,42,Heavily Delayed,17,Evening,0,Weekday,1.0,Positive
Delhi,New Delhi,Mcdonald'S,Greenfields_FBD,Menu Starts @125/-,McAloo Tikki+Small Fries+Small drink+McPuff,143.0,4.8,4,1002496,12.99432,77.710307,7.16,Jam,38,56,94,70,24,Heavily Delayed,17,Evening,0,Weekday,0.95,Positive
Odisha,Bhubaneswar,Pizza Hut,Baxi Bazar,Thin N Crispy Pizzas,Chicken Supreme Thin n Crispy,949.0,2.0,3,1002497,13.066394,77.742696,1.03,High,31,19,50,40,10,Slightly Delayed,15,Afternoon,0,Weekend,0.25,Negative
Nagaland,Kohima,Bambusa Express,BOC,Mains,Veg Fried Rice,160.0,4.9,14,1002498,13.095185,77.735705,6.8,High,30,38,68,61,7,Slightly Delayed,9,Morning,0,Weekday,0.9750000000000001,Positive
Telangana,Hyderabad,Lunchbox - Meals And Thalis,Manikonda,Chapati Lunchbox,Chicken Mughlai Gravy with Chapati,239.0,4.4,17,1002499,12.951896,77.547598,8.23,High,15,47,62,52,10,Slightly Delayed,15,Afternoon,0,Weekday,0.8500000000000001,Positive
Odisha,Bhubaneswar,Wow! Momo,Patrapada,Thukpas,Veg Thukpa Soup,259.0,4.4,67,1002500,13.05688,77.576508,1.96,Medium,37,10,47,49,-2,On Time,18,Evening,0,Weekday,0.8500000000000001,Positive
Manipur,Imphal,Crush Restaurant,Moirangkhom,Appetizers,Fish and  Chips                      ,280.0,4.6,7,1002501,13.041132,77.482861,3.12,Medium,25,18,43,42,1,On Time,12,Afternoon,0,Weekday,0.8999999999999999,Positive
Odisha,Bhubaneswar,Mughlai Restaurant,College Square,Recommended,Chilli Fish Boneless,395.0,5.0,25,1002502,12.993382,77.524263,14.91,High,10,84,94,73,21,Heavily Delayed,13,Afternoon,1,Weekend,1.0,Positive
Punjab,Chandigarh,Chaayos Chai+Snacks=Relax,SAS Nagar,Recommended,Desi chai with Kala Chana Chaat,328.0,4.7,2,1002503,13.089012,77.714726,13.2,Jam,32,103,135,88,47,Heavily Delayed,8,Morning,0,Weekday,0.925,Positive
Karnataka,Bengaluru,Mcdonald'S,Bannerghatta Road,Mcsaver Combos (2 Pc Meals),New McSaver Masala McEgg,175.0,4.0,3,1002504,12.900119,77.558255,2.87,High,17,22,39,33,6,Slightly Delayed,15,Afternoon,0,Weekday,0.75,Positive
Delhi,New Delhi,Hira Sweets And Confectionary Pvt. Ltd.,Sector 51,Subah Ka Nashta,Choley Bhature ( 2 Pcs ) ,150.0,4.8,4,1002505,12.877316,77.636166,9.12,High,17,53,70,57,13,Slightly Delayed,23,Night,0,Weekend,0.95,Positive
Bihar,Patna,Awadhi,Boring Patliputra Road,Chaat N Snacks,Veg Patties,35.0,4.3,153,1002506,13.06349,77.64979,6.31,High,10,37,47,39,8,Slightly Delayed,19,Evening,1,Weekday,0.825,Positive
Punjab,Chandigarh,Olio - The Wood Fired Pizzeria,Panchkula,House Special Garlic Breads!,Italian Cheese Garlic Bread,249.0,4.1,86,1002507,12.959787,77.684549,8.61,High,20,48,68,58,10,Slightly Delayed,17,Evening,0,Weekday,0.7749999999999999,Positive
Tamil Nadu,Chennai,Hot Breads,Medavakkam,"Cookies, Muffins & Tea Cakes",Brookie Cookie (55Gms),98.0,3.9,3,1002508,13.061742,77.50484,7.59,Jam,17,60,77,51,26,Heavily Delayed,19,Evening,1,Weekday,0.725,Neutral
Rajasthan,Jaipur,Shree Agarwal Caterers,Vidhyadhar Nagar,Namkeen,Namak Para [400 Gm],112.0,4.8,107,1002509,13.073273,77.541444,1.67,Low,40,12,52,51,1,On Time,9,Morning,0,Weekday,0.95,Positive
Karnataka,Bengaluru,The Good Bowl,Whitefield,Desserts,New York Cheesecake,179.0,3.9,18,1002510,12.865614,77.584501,5.42,Medium,17,28,45,43,2,On Time,22,Night,0,Weekend,0.725,Neutral
West Bengal,Kolkata,Lunchbox - Meals And Thalis,Thakurpukur,Breads And Accompaniments,Wheat Paratha (3 pcs),159.0,4.2,6,1002511,13.070866,77.559452,2.76,High,33,16,49,48,1,On Time,13,Afternoon,1,Weekend,0.8,Positive
Tamil Nadu,Chennai,Lunchbox - Meals And Thalis,Navalur,Desserts,Rajgira Halwa - 80 gm,99.0,4.0,2,1002512,12.96208,77.744872,7.85,High,36,45,81,71,10,Slightly Delayed,17,Evening,0,Weekday,0.75,Positive
Goa,Panaji,Kfc,Mapusa,Rolls,Thai Spicy Chicken Roll,139.0,3.6,34,1002513,12.977608,77.700482,13.7,High,38,73,111,96,15,Slightly Delayed,10,Morning,0,Weekend,0.65,Neutral
Karnataka,Bengaluru,Nic Ice Creams,KENGERI UPANAGAR,Kulfi,Matka Dryfruit Malai Kulfi [pack Of 2],169.49,4.4,32,1002514,13.006648,77.593906,14.94,Jam,27,118,145,90,55,Heavily Delayed,18,Evening,0,Weekday,0.8500000000000001,Positive
Jharkhand,Ranchi,Shree Gangaur,Jai Prakash Nagar,Pastries,Chocolate Pastry,78.0,4.3,69,1002515,13.081596,77.713781,14.22,Jam,18,113,131,78,53,Heavily Delayed,8,Morning,0,Weekday,0.825,Positive
Kerala,Kochi,Kfc,Kalavamcodam,Recommended,American Roll & Popcorn Chicken Meal,299.0,4.4,5,1002516,12.854779,77.554296,14.8,Medium,23,59,82,85,-3,On Time,11,Afternoon,0,Weekday,0.8500000000000001,Positive
Meghalaya,Shillong,Jiva Veg,Police Bazar,Indian Breads,Butter Naan,95.0,4.5,144,1002517,12.969211,77.685748,1.21,Low,22,10,32,31,1,On Time,14,Afternoon,1,Weekend,0.875,Positive
Karnataka,Bengaluru,Aubree,Electronic City,Crafted Desserts,Belgian Dream Cake,466.1,4.1,1,1002518,13.021931,77.517103,11.21,Jam,33,89,122,81,41,Heavily Delayed,15,Afternoon,0,Weekend,0.7749999999999999,Positive
Tripura,Agartala,Domino'S Pizza,Dom_Only_Agartala,Burgers & Parcels,Burger Pizza - Premium Veg,165.0,4.8,18,1002519,13.030677,77.681697,4.82,Medium,23,23,46,46,0,On Time,15,Afternoon,0,Weekend,0.95,Positive
Telangana,Hyderabad,Kfc,Santosh nagar,Burgers,Spicy Zinger Burger and Popcorn Meal,449.0,3.2,5,1002520,13.023133,77.586936,13.12,High,17,87,104,73,31,Heavily Delayed,16,Evening,0,Weekday,0.55,Neutral
Telangana,Hyderabad,Millet Express,Kondapur,Millet Express Classics,Millet Pongal (500 ml),149.0,4.3,684,1002521,12.883609,77.48225,12.39,Jam,21,94,115,74,41,Heavily Delayed,15,Afternoon,0,Weekday,0.825,Positive
West Bengal,Kolkata,Oudh 1590,Barrackpore Trunk Rd,Tandoor & Kebabs,Paneer Sugandhi Kebab [4 Pcs],310.0,4.9,9,1002522,12.924849,77.531979,6.93,Medium,40,34,74,72,2,On Time,14,Afternoon,1,Weekday,0.9750000000000001,Positive
Meghalaya,Shillong,Mithaas,Demseiniong,Indian Breads,Aloo Cheese Paratha,200.0,4.7,2,1002523,12.939679,77.570682,7.63,Medium,43,32,75,77,-2,On Time,19,Evening,1,Weekend,0.925,Positive
Karnataka,Bengaluru,Domino'S Pizza,Anekal,Dominos Classics,Chicken Pepperoni Pizza,369.0,4.6,10,1002524,13.051109,77.674788,4.71,High,30,24,54,53,1,On Time,14,Afternoon,1,Weekday,0.8999999999999999,Positive
Sikkim,Gangtok,Delicious Kitchen,Gangtok,Local,Pyazee [10 Pieces],60.0,3.0,4,1002525,12.91969,77.471895,5.04,High,13,39,52,37,15,Slightly Delayed,11,Afternoon,0,Weekday,0.5,Neutral
Tripura,Agartala,Tihar Flavours Of Jail,Milan Chakra,Indian Non Veg Gravy,Chicken Do Piyaza,370.0,4.6,27,1002526,12.902676,77.647864,14.74,Medium,20,62,82,82,0,On Time,12,Afternoon,0,Weekday,0.8999999999999999,Positive
Bihar,Patna,Wow! Momo,KURJI,Burger Momo [Moburg],Chicken Moburg,129.0,4.2,6,1002527,13.089362,77.664804,13.44,High,16,73,89,73,16,Heavily Delayed,22,Night,0,Weekday,0.8,Positive
Karnataka,Bengaluru,Polar Bear,Rajarajeshwari Nagar,Coffee Sundaes,Mocha Twist Sundae,177.0,4.9,49,1002528,12.852216,77.646176,3.69,Low,21,17,38,40,-2,On Time,21,Night,1,Weekday,0.9750000000000001,Positive
Karnataka,Bengaluru,Daily Kitchen - Everyday Homely Meals,RR Nagar,Veg Homely - Light Meal,Dal Makhani - Light Meal,169.0,4.6,15,1002529,13.099455,77.678201,4.86,High,14,30,44,37,7,Slightly Delayed,13,Afternoon,1,Weekday,0.8999999999999999,Positive
Jharkhand,Ranchi,Pizza Hut,Doranda,Recommended,Triple Chicken Feast,409.0,4.6,52,1002530,13.019205,77.503451,2.52,Low,12,11,23,26,-3,On Time,18,Evening,0,Weekday,0.8999999999999999,Positive
Uttar Pradesh,Lucknow,Yadav Doodh Dairy,Gomti Nagar,Recommended,Besan Patisa,343.0,4.8,13,1002531,13.057117,77.626131,14.84,High,41,82,123,103,20,Heavily Delayed,18,Evening,0,Weekday,0.95,Positive
Mizoram,Aizawl,Felafels Restaurant,Zarkawt,Noodles,Veg Hakka Chow,110.0,4.4,6,1002532,12.923655,77.732343,13.7,Jam,44,103,147,102,45,Heavily Delayed,22,Night,0,Weekday,0.8500000000000001,Positive
Uttar Pradesh,Lucknow,Kfc,Gomti Nagar,Recommended,Classic Chicken Roll,139.0,4.2,97,1002533,12.853579,77.633235,8.73,Medium,21,38,59,60,-1,On Time,23,Night,0,Weekday,0.8,Positive
Uttar Pradesh,Lucknow,Indrani Sweets And Restaurant,Indira Nagar,Tandoori Starters,Tandoori Aalooo,299.0,4.6,13,1002534,13.034467,77.633401,10.7,Jam,39,87,126,85,41,Heavily Delayed,19,Evening,1,Weekend,0.8999999999999999,Positive
Gujarat,Ahmedabad,Jayhind Sweets,Vastrapur,Recommended,Kaju Katli - Diwali Gifts Pack,330.0,4.9,7,1002535,13.058536,77.670932,11.47,High,42,64,106,91,15,Slightly Delayed,12,Afternoon,0,Weekday,0.9750000000000001,Positive
Tamil Nadu,Chennai,Burger King,Kancheepuram,Kings Collection ( Premium Burgers ),Hot 'N' Cheesy Burger.,299.0,4.5,19,1002536,13.035119,77.549961,3.85,Low,12,16,28,32,-4,On Time,23,Night,0,Weekend,0.875,Positive
Delhi,New Delhi,Hira Sweets,Indirapuram,Subah Ka Nashta,Masala Dosa (1 Pc),205.0,4.0,886,1002537,12.885713,77.660143,14.09,Jam,35,109,144,94,50,Heavily Delayed,19,Evening,1,Weekday,0.75,Positive
Telangana,Hyderabad,Wendy'S Burgers,Narsingi,Cheeseblast Burgers,Cheese Blast Spicy Aloo Crunch Burger,178.0,3.7,12,1002538,13.038357,77.72487,8.37,Medium,43,38,81,80,1,On Time,12,Afternoon,0,Weekday,0.675,Neutral
Punjab,Chandigarh,Taco Bell,Sector 67,Recommended,Ultimate Cheese Crunchwrap Meal – Veg,415.0,4.8,2,1002539,13.042231,77.453269,2.29,Medium,12,13,25,25,0,On Time,15,Afternoon,0,Weekday,0.95,Positive
Punjab,Chandigarh,Olio - The Wood Fired Pizzeria,S.A.S NAGAR MOHALI,Recommended,Veg Overload Pizza,339.0,4.2,142,1002540,13.014635,77.711034,6.56,High,23,39,62,53,9,Slightly Delayed,15,Afternoon,0,Weekday,0.8,Positive
Goa,Panaji,Mustard Cafe - Hotel Astoria,Assagao,Desserts,Flourless Chocolate Fudge Cake (Slice),330.0,4.8,20,1002541,13.041529,77.515585,9.42,Medium,23,40,63,64,-1,On Time,13,Afternoon,1,Weekend,0.95,Positive
Meghalaya,Shillong,Jiva Veg,Police Bazar,Thali,Special North Indian Thali,400.0,4.3,101,1002542,13.06148,77.586777,5.94,Medium,26,31,57,54,3,On Time,22,Night,0,Weekday,0.825,Positive
Tamil Nadu,Chennai,Sri Ganga Veg Restaurant,Perambur,Favourites,Ghee Masala Dosai Spl,170.0,4.0,19,1002543,13.003401,77.705704,10.79,Jam,24,87,111,71,40,Heavily Delayed,15,Afternoon,0,Weekend,0.75,Positive
